horizon,metric,deaths,new cases,total cases
7,mae,95.42624499657995,258.2119325335024,543.1232706517621
7,mape,5.8123228732015795,8.74430758158929,0.29999565174093223
7,rmse,98.69539604144481,299.19413326137766,669.4478133952038
14,mae,139.0672102056135,508.4853418334232,2672.052535300484
14,mape,7.79514705387534,16.627272840026237,1.3409207185471819
14,rmse,147.8092148459279,597.6471608295607,3614.244196563403
21,mae,177.84706586328517,514.1638253163107,3647.5091669154035
21,mape,9.334805580476045,25.439046348077188,1.7642633826101743
21,rmse,190.71892860041572,596.1065164740497,4430.806923691824
28,mae,203.90406964867455,650.8688494223492,3212.0305721497903
28,mape,10.23245701307531,59.525625708577955,1.5378594334394484
28,rmse,217.20743142402569,741.1507033012028,3992.43467092681
