horizon,metric,deaths,new cases,total cases
7,mae,94.57126930836687,189.8607697087722,1838.8355077259553
7,mape,33.788383276804616,33.53198675606518,8.60730388638435
7,rmse,95.33851511745787,200.27880341432567,1885.618631442212
14,mae,115.1362741825694,199.78528316855065,2689.6447450266674
14,mape,38.3954020810821,36.23155026571758,11.315550754624251
14,rmse,117.52028034231215,211.3498035364989,2851.354965397652
21,mae,134.2351965688105,153.17476296659868,3228.1811696360596
21,mape,42.11245724574165,30.224063529306335,12.68542851435653
21,rmse,138.38024888636733,176.07350507311526,3406.4080944031134
28,mae,151.60804798375028,118.45406110981175,3549.775954028205
28,mape,45.046598501070186,24.197178852075066,13.29818849239072
28,rmse,157.34107725537356,152.75258735003845,3714.5772512707995
