horizon,metric,deaths,new cases,total cases
7,mae,28.780908009593986,981.4612503946162,2351.4429065366608
7,mape,0.1151329584906933,20.945467193766984,0.17180984224065243
7,rmse,31.633160301425818,1140.886106648132,2920.6590942897337
14,mae,54.53879955632666,698.9012499634533,5141.080760459598
14,mape,0.21713529154340425,15.302311836080143,0.3708558694072488
14,rmse,61.81440414406313,950.7886182969019,5985.619590758736
21,mae,82.51281790180431,477.1785403081798,6242.229301365635
21,mape,0.3268807294430099,10.682484808123185,0.4468945571883826
21,rmse,95.40976457620799,776.6824262098701,6903.75755060758
28,mae,117.11000025433519,412.9076975990686,6715.206503423804
28,mape,0.46144222720692857,11.616608299896521,0.47805025640707943
28,rmse,138.62580971333077,686.4844337987132,7232.7338692144285
