deaths,new cases,total cases
604534.0,14378.0,3.3759965e7
604603.4679185785,15520.7288938713,3.3776381741205275e7
604711.2108843763,14637.116476291214,3.379063090445664e7
604847.0973139246,13664.356090575198,3.380378373692481e7
605004.2917255624,13112.562901549583,3.3816579717946075e7
605178.0681620706,13036.778240691483,3.3829541043113954e7
605365.0434326101,13371.085521247916,3.384304857000762e7
605562.6940954234,14035.749787689912,3.385739211335416e7
605769.0635193344,14966.337709112122,3.38728037605105e7
605982.5942375953,16117.496937124271,3.388947987897146e7
606202.0391700347,17459.682794062945,3.390759562533985e7
606426.4190587595,18974.985518601196,3.392731438639067e7
606655.0028460202,20653.578216517337,3.394879393477333e7
606887.2967995298,22490.909134055793,3.397219031452637e7
607123.0340165369,24485.583643241793,3.399766014707289e7
607362.1604427937,26638.459598113666,3.4025361889461786e7
607604.8169007979,28951.47241315532,3.4055456338959716e7
607851.317813196,31426.30263709936,3.4088106521844015e7
608102.1282713512,34064.95291801165,3.412347723728783e7
608357.8412778204,36868.94804552126,3.416173420486355e7
608619.1558406301,39837.86066671968,3.420304287328415e7
608886.8568080926,42971.10199959564,3.4247567168589935e7
609161.7973242692,46266.61181237848,3.4295467883724906e7
609444.8832398986,49719.35081092554,3.434690087452373e7
609737.0593212405,53324.240170438876,3.440201536420603e7
610039.2978928586,57073.77494461075,3.446095186107597e7
610352.5885335169,60957.00977412753,3.452384007123605e7
610677.9285842477,64963.35863632771,3.459079704248025e7
611016.3153605484,69078.97982088284,3.46619249277635e7
611368.7383593569,73286.7643613191,3.473730899322593e7
611736.1716601644,77570.53844861012,3.481701594867121e7
612119.5675690372,81910.35562585035,3.4901091958557725e7
612519.8496394062,86283.86796541935,3.498956118075653e7
612937.9058281758,90670.39087834719,3.5082424666324496e7
613374.5827622571,95045.31609986389,3.5179659038079016e7
613830.6791513425,99383.26719243474,3.528121597229711e7
614306.9397068196,103661.22669499846,3.538702197279562e7
614804.0501868137,107852.41260010801,3.549697804560857e7
615322.6315643872,111931.74250495523,3.5610960394534245e7
615863.2353804675,115876.64834379822,3.572882116141096e7
616426.3401214308,119661.32833602505,3.585038925053641e7
617012.3468057264,123264.83261359017,3.597547224783388e7
617621.5766404183,126667.52584261334,3.61038579330078e7
618254.269131587,129848.20881354525,3.623531623815055e7
618910.5798340191,132793.1128513178,3.636960201327936e7
619590.5808744445,135486.91976370988,3.6506456948600635e7
620294.260649516,137917.40677351865,3.6645612538611114e7
621021.5247141377,140077.91065855368,3.6786792803746685e7
