horizon,metric,deaths,new cases,total cases
7,mae,2.4085218330317053,96.16556292652938,234.68997029397335
7,mape,4.032889037899001,27.928488427132503,2.021555343427761
7,rmse,2.470036406657016,106.20459922787515,312.0783417643586
14,mae,2.222206761475183,110.47834266182274,672.5042725323092
14,mape,3.5486931115737996,32.456438113295,5.0981773751013755
14,rmse,2.321164886717833,117.43980211368802,831.7306484209333
21,mae,1.7429996871999278,174.68587684029114,1285.682517944143
21,mape,2.6968438989513017,41.84030157663618,8.494684456467262
21,rmse,1.9685858178173288,207.33214802777735,1645.2573047270052
28,mae,3.5304385971585726,357.2537451675818,2650.472243931061
28,mape,4.3181379264023345,52.33837228115637,14.01242670552689
28,rmse,5.40821233788057,502.8764066267273,3786.2416675950694
