deaths,new cases,total cases
604534.0,14378.0,3.3759965e7
604602.5902487005,15575.132418254827,3.377645497069448e7
604709.322269621,14812.173881183207,3.3790936559265494e7
604844.6114895537,13982.485727001338,3.380447838168089e7
605002.1255202355,13616.698760015845,3.381786593289361e7
605177.6981049792,13740.933324493399,3.383163332829603e7
605368.280267147,14229.875565537672,3.3846081766950436e7
605571.4362972826,15000.997309163256,3.386144704911151e7
605785.1973244746,16020.445958368613,3.387795818174049e7
606007.9901808918,17263.325153369762,3.3895826361024864e7
606238.498100109,18658.76380767878,3.3915172772519045e7
606475.4369755456,20085.15875063567,3.393597263287383e7
606717.4807290672,21565.31389474598,3.395826902077155e7
606963.6206826852,23174.097489506323,3.398223589979666e7
607213.1743885938,24902.283124170044,3.400799370868298e7
607465.6601939435,26706.953834127526,3.403559767657493e7
607720.7337805707,28558.031210183788,3.406507770458908e7
607978.1901858881,30454.00196596051,3.409647625597715e7
608237.9596350669,32374.339592358658,3.4129810133112736e7
608500.0740133366,34323.503662952935,3.41651047428275e7
608764.689790289,36307.38684689178,3.420240116144281e7
609032.0661123744,38341.894021983404,3.424175550572196e7
609302.599043748,40517.16602424713,3.428334287794299e7
609576.9654013502,43037.55165174587,3.432761213183379e7
609856.181928572,46024.771002058544,3.437508410357434e7
610141.6445147019,49673.6446077604,3.442651982296717e7
610435.1798269716,54137.481031839976,3.448282021605768e7
610739.0239437151,59564.67895661785,3.454501390081345e7
611055.8557344495,66095.41330453503,3.461428129542805e7
611388.7165483135,73619.64687083264,3.469159242391923e7
611740.6179490573,81513.64645210507,3.477704923293296e7
612113.9463854411,88990.13602128581,3.486982109340012e7
612510.2765044289,95689.93928193078,3.496894103439508e7
612930.3688881302,101284.73801742414,3.5073102826063156e7
613374.2678585656,105721.88138890549,3.518112839373004e7
613841.4744570899,109123.86158093014,3.529204463195902e7
614331.0487756884,111514.27513391055,3.540481358663168e7
614841.8823081565,113448.19925355118,3.551924414967884e7
615373.091197936,115393.08685682916,3.563560172654226e7
615924.0882320841,117493.25815681975,3.575412802065908e7
616494.517241639,119780.85945959034,3.587503821764603e7
617084.2055479712,122256.95974452294,3.599851756372821e7
617693.1385018803,124902.03296246205,3.612473017823362e7
618321.4138905343,127673.34508136744,3.625377982768083e7
618969.2023185968,130500.16100709315,3.638569265970479e7
619636.6913007358,133322.08908514882,3.652042586160962e7
620324.0705645175,136088.4309089843,3.665790591864455e7
621031.5119825843,138796.11600711435,3.679806051154343e7
