horizon,metric,deaths,new cases,total cases
7,mae,121.27050601530787,296.04019111235885,2716.1596451055498
7,mape,7.385234139256279,9.960485512018842,1.5391838273194172
7,rmse,125.53507809136474,330.13204638093856,2807.7586689533914
14,mae,176.02450528050773,545.051575945942,2511.5215471372003
14,mape,9.868648119487599,17.835320201854508,1.3374382967835
14,rmse,186.92072773658646,626.8409557066792,2752.0835258404118
21,mae,223.9254474976468,518.7673238894545,2776.519553394294
21,mape,11.759084805168007,24.58879406268403,1.4062451380880656
21,rmse,239.7360492771465,594.6275783114114,3008.195687023697
28,mae,257.5459504788628,623.0437698026651,2646.462014061221
28,mape,12.92484697845214,54.07374421797802,1.3081292946098333
28,rmse,274.2927758998656,696.4589539050152,2953.921478295628
