horizon,metric,deaths,new cases,total cases
7,mae,36.6323047492359,19.382219580314864,410.0985855516379
7,mape,0.34494131650615945,0.9683132306143314,0.06669789592643513
7,rmse,37.21488720536149,21.616976740240915,412.09142662301423
14,mae,53.215221607519325,62.938728093095406,480.4061856285137
14,mape,0.49823321106363533,3.176473017710704,0.07717028124249858
14,rmse,56.63248459603252,95.73748472030275,492.1111970093158
21,mae,75.67227025930367,76.11207092658651,396.26457908051646
21,mape,0.7033901700907133,3.60877578491958,0.06327762024713406
21,rmse,84.12819221517559,116.77415563887635,425.50541202854083
28,mae,102.3850223891861,109.93548498056806,452.85813485241044
28,mape,0.9440671890653121,5.689270556566996,0.07103477357108648
28,rmse,117.06619220419326,149.9512650614205,533.1209708140436
